Abbreviation,Name,Measures,Subscales,Category,Items,Paper Reference,link
RAS,Relationship Assessment Scale,General Relationship Satisfaction,,Relationships,7,"Hendrick, S. S., Dicke, A., & Hendrick, C. (1998). The Relationship Assessment Scale. Journal of Social and Personal Relationships, 15(1). ",https://fetzer.org/sites/default/files/images/stories/pdf/selfmeasures/Self_Measures_for_General_Relationship_Satisfaction_RELATIONSHIP.pdf
PIL,The Purpose in Life Test,Perceived Life Purpose and Meaning ,,Attitudes,20,"Crumbaugh, J. C., & Maholick, L. T. (1964). An experimental study in existentialism: The psychometric approach to Frankl's concept of noogenic neurosis. Journal ofClinicalPsychology, 20(2), 200-207. ",https://static1.squarespace.com/static/59d153ddf09ca40ca9049f14/t/59e3efb36f4ca347ca717e8a/1508110261560/The_Purpose_in_Life_Test.pdf
WAYS,Ways of Coping Questionnaire,Role of Coping in Stress and Adaptational Outcomes,"Confrontive Coping, Distancing, Self-Controlling, Seeking Social Support, Accepting Responsibility, Escape-Avoidance, Planful Problem Solving, Positive Reappraisal",Personality,66,"Folkman, S., Lazarus, R. S., Dunkel-Schetter, C., DeLongis, A., & Gruen, R. (1986). The dynamics of a stressful encounter: Cognitive appraisal, coping and encounter outcomes. Journal of Personalityand Social Psychology, 50, 992-1003. ",https://prevention.ucsf.edu/sites/prevention.ucsf.edu/files/uploads/tools/surveys/pdf/Ways%20of%20coping.pdf
GRAS,Gender Roles Attitudes Scale ,Thoughts and Feelings About Gender Roles,"Egliatarian gender roles, Female gender roles, Marriage gender roles, Traditional gender roles, Male gender roles",Beliefs,38,"Zeynelo?lu, S., & Terz?o?lu, F. (2011). Development and psychometric properties gender roles attitude scale. Hacettepe Üniversitesi E?itim Fakültesi Dergisi (H. U. Journal of Education), 40, 409-420. ",https://genderhealthdata.org/wp-content/uploads/gravity_forms/scale-repository-PDFs/Gender-Roles-Attitude-Scale-GRAS.pdf
MAILS,Meta AI Literacy Scale,AI Literacy,"Artificial Intelligence Literacy: Use & Apply, Know & Understand, Detect AI, AI Ethics. Create AI. AI Self-Efficacy: AI Problem-Solving, Learning. AI Self-Competency: Persuasion Literacy, Emotion Regulation",Knowledge/Understaning,34,"Carolus, A., Koch, M. J., Straka, S., Latoschik, M. E., & Wienrich, C. (2023). MAILS - Meta AI literacy scale: Development and testing of an AI literacy questionnaire based on well-founded competency models and psychological change- and meta-competencies. Computers in Human Behaviour: Artificial Humans, 1(2), 100014. ",https://downloads.hci.informatik.uni-wuerzburg.de/MAILS-qustionnaire-english.pdf
FS,Fatherhood Scale ,Type of Relationship with Father,"Positive Engagement, Positive Paternal Emotional Responsiveness, Negative Paternal Engagement, The Moral Father Role, The Gender Role Model, The Good Provider Role, The Androgynous Role, Responsible Paternal Engagement, The Accessible Father ",Developmental,64,"Dick, G. L. (2004). The Fatherhood Scale. Research on Social Work Practice, 14(2), 80-92. ",https://135704.fs1.hubspotusercontent-na1.net/hubfs/135704/Miscellaneous%20Documents/The-Fatherhood-Scale.pdf
PS,The Parenting Scale,Dysfunctional Discipline Practices in Parents ,"Laxness (LX), Over-reactivity (OR), Hostility (HS)L No factor (NF)",Developmental,30,"Arnold, D. S., O'Leary, S. G., Wolff, L. S., Acker, M. M. (1993). The Parenting Scale: A measure of dysfunctional parenting in discipline situations. Psychological Assessment, 5(2), 137-144.",https://www.cabarrushealth.org/DocumentCenter/View/1011/Level-4---Standard---Parenting-Scale---English
EBQ,Educational Beliefs Questionnaire,Beliefs about Educational Concepts,"Essentialism, Traditionalism, Progressivism, Reconstructivism, Existentialism",Beliefs,20,"Silvernail, D. L. (1992). The Development and Factor Structure of the Educational Beliefs Questionnaire. Educational and Psychological Measurement, 52(3), 663-667.",https://scales.arabpsychology.com/s/educational-beliefs-questionnaire/
WoSS-13,Work Stress Screener ,Experienes of Harmful Stress at Work,"Characteristics of benign stress: Positive work-related affect/stress, General positive affect. Characteristics of harmful stress. ",Mental Health,13,"Sweetman, J., Vam Der Feltz-Cornelis, C. M., Elfeddali, I., & de Beurs, E. (2022). Validation of the Work Stress Screener (WOSS-13) and Resilience at Work Scale (ReWoS-24). Journal of Psychosomatic Research.",https://www.york.ac.uk/media/healthsciences/documents/research/mentalhealthresearch/Work%20Stress%20Screener_WOSS-13.pdf
FIS,Fear of Intimacy Scale,Anxiety about Close Dating Relationships,,Relationships,35,"Descutner, C. J., & Thelen, M. H. (1991). Development and validation of a Fear-of-Intimacy Scale. Psychological Assessment: A Journal of Consulting andClinicalPsychology, 3(2), 218-225. ",https://www.researchgate.net/publication/309354778_Fear_of_Intimacy_Scale_with_Scoring_Instructions_English_and_Mandarin
IE-4,The Internal-External Locus of Control Short Scale-4,Locus of Control,"Internal LoC, External LoC",Personality,4,"Kovaleva, A., Beierlein, C., Kemper, C. J., & Rammstedt, B. (2014). Internale-Externale-Kontrollüberzeugung-4 (IE-4) [Internal-External Locus of Control-4 (IE-4)]. Zusammenstellung sozialwissenschaftlicker Items und Skalen (ZIS). ",https://pmc.ncbi.nlm.nih.gov/articles/instance/9273068/bin/pone.0271289.s002.pdf
GRCS,Gender Role Conflict Scale,Men's Gender-Role Attitudes and Conflicts,"Success, Power, Competition; Restrictive Emotionality, Restrictive Affectionate Behaviour Between Men, Conflicts Between Work and Family Relations ",Attitudes,37,"O'Neil, J. M., Helms, B. J., Gable, R. K., David, L., & Wrightsman, L. S. (1986). Gender-Role Conflict Scale: College men's fear of femininity. Sex Roles, 14(5-6), 335-350. ",https://emerge.ucsd.edu/r_1goo4iqgrwdsipv/
CORE-OM,ClinicalOutcomes in Routine Evaluation - Outcome Measure,General Distress,"Well-being Deficits, Problems/Symptoms, Life Functioning Difficulties, Risk/Harm",Mental Health,34,"Evans, C., Connell, J., Barkham, M., Margison, F., McGrath, G., Mellor-Clark, J., & Audin, K. (2002). Towards a standardised brief outcome measure: Psychometric properties and utility of the CORE-OM. British Journal of Psychiatry, 180(1), 51-60. ",https://www.coresystemtrust.org.uk/wp-content/uploads/2020/03/CORE-OM.pdf
GHQ-28,The General Health Questionnaire - 28,Detecting Possible Psychological Disorders ,"Somatic symptoms, Anxiety/Insomnia, Social dysfunction, Severe depression",Mental Health,28,"Goldberg, D. P., & Hillier, V. F. (1979). A scaled version of the General Health Questionnaire. Psychological Medicine, 9, 139-145.",https://www.carepatron.com/files/general-health-questionnaire-ghq-28.pdf
BDI,Beck Depression Inventory,Attitudes and Symptoms of Depression,"Cognitive-affective, Somatic-performance",Mental Health,21,"Beck, A. T., Ward, C. H., Mendelson, M., Mock, J., & Erbaugh, J. (1961). An inventory for measuring depression. Archives of General Psychiatry, 4, 561-571. ",https://www.ismanet.org/doctoryourspirit/pdfs/Beck-Depression-Inventory-BDI.pdf
UFSSS,Undergraduate Family Social Support Scale,Percieved Social Support in University ,"Personal Issues: Relationships, Respect, Gives Advice, Communication, Support, Love/Care, Inquires about life outside of school, Physical/Mental Health. Financial Issues: School Expenses, Gas/Groceries/Bills, Need for Money, Personal Items. Academic Issues: Inquiry about Progress, Shows Supporg, Class Satisfaction, Workload, Future Goals",Academic,51,"Nadel, S. (2014). Developing a Social Support Measurement Instrument: A Methodological Approach to Measuring Undergraduate Perceptions of Social Support. Degree Master of Arts, The Ohio State University. ",https://etd.ohiolink.edu/acprod/odb_etd/ws/send_file/send?accession=osu1402180624&disposition=inline
SAI,Sexual Anxiety Inventory,Anxiety around Sexual Intercourse,,Personality,16,"Janda, L. H., & O'Grady, K. E. (1980). Development of a Sex Anxiety Inventory. Journal of Consulting andClinicalPsychology, 48(2), 169-175. ",https://scholarsarchive.byu.edu/cgi/viewcontent.cgi?article=1402&context=studentpub_uht
BES,Binge Eating Scale,Behaviours Relating to Binge Eating Disorder (BED),"Behavioural symptoms, Cognitive/Affective symptoms",Mental Health,16,"Gormally, J., Black, S., Daston, S., & Rardin, D. (1982). Binge Eating Scale (BES) [Database record]. APA PsycTests. ",https://psychology-tools.com/test/binge-eating-scale
EDDS,Eating Disorder Diagnostic Scale,"Diagnostic tool for Anorexia, Bulimia and Binge Eating Disorder",,Mental Health,23,"Stice, E., Telch, C. F., & Rizvi, S. l. (2000). Development and validation of the Eating Disorder Diagnostic Scale: a brief self-report measure of anorexia, bulimia and binge-eating disorder. Psychological Assessment, 12(2), 123-131.",https://www.phenxtoolkit.org/toolkit_content/PDF/PX120602.pdf
ADV, Acceptance of Dating Violence Scale,Cognitive Schema of Dating Violence,,Attitudes,10,"Foshee, V. A., Bauman, K. E., Arriaga, X. B., Helms, R. W., Koch, G. G., & Linder, G. F. (1998). An evaluation of Safe Dates, an adolescent dating violence prevention program. American Journal of Public Health, 88, 45-50.",https://www.psicothema.com/pdf/4390.pdf
ACV,Acceptance of Couple Violence Scale ,Acceptance of Dating Violence,"Acceptance of male-to-female violence, Acceptance of female-to-male violence, Acceptance of general violence ",Attitudes,11,"Foshee, V. A., Linder, G. F., Bauman, K. E., Langwick, S. A., Ximena, B. A., Heath, J. L., McMahon, P. M., & Bangdiwala, S. (1996). The Safe Dates Project: Theoretical Basis, Evaulation Design, and Selected Baseline Findings. American Journal of Preventive Medicine, 12(5), 39-47.",https://scales.arabpsychology.com/s/acceptance-of-couple-violence/
ATE,Attitudes Towards Emotions Scale,Attitudes Towards Emotions,"Attitude Toward Anger, Attitude Toward Joy, Attitude Toward Sadness, Attitude Toward Disgust, Attitude Toward Fear",Attitudes,29,"Harmon-Jones, E., Harmon-Jones, C., Amodio, D. M., & Gable, P. A. (2011). Attitudes Towards Emotions. Journal of Personalityand Social Psychology, 101(6), 1332-1350. ",https://amodiolab.org/wp-content/uploads/2019/04/Harmon-Jones-Attitudes-Toward-Emotions.pdf
EQ-40,The Empathy Quotient - 40 Item Version,Empathy Levels in Adults,"Cognitive Empathy, Emotional Empathy, Social Skills",Mental Health,40,"Baron-Cohen, S., & Wheelwright, S. (2004). The Empathy Quotient: An Investigation of Adults with Asperger Syndrome or High Functioning Autism, and Normal Sex Differences. Journal of Autism and Developmental Disorders, 34(2), 163-175. ",https://novopsych.com.au/wp-content/uploads/2024/06/EQ-Empathy-Quotient-automatic-report-score.pdf
POCUS,Positive Outcomes of Cannabis Use Scale ,Percieved Positive Effects of Cannabis Use,"Social Enhancement, Mood Enhancement, Cognitige Enhancement, Sexual Enhancement",Beliefs,19,"Parnes, J. E., Prince, M. A., & Conner, B. T. (2024). Development and Validation of the Positive Outcomes of Cannabis Use Scale (POCUS) Among Predominantly White Adults in the United States. Assessment, 32(1).  ",https://osf.io/a35he/download/?format=pdf
CBI,Coping Behaviours Inventory,Coping Strategies of Alcoholics  ,"Positive Thinking, Negative Thinking, Avoidance/Distraction, Seeking Social Support ",Mental Health,36,"Litman, G. K., Stapleton, J., Oppenheim, A. N., & Peleg, B. M. (1983). An Instrument for Measuring Coping Behaviours in Hospitalized Alcoholics: Implications for Relapse Prevention Treatment. British Journal of Addiction, 78(3), 269-276. ",https://www.drugsandalcohol.ie/26831/1/Coping%20behaviours%20inventory.pdf
IAT,The Internet Addiction Test,Compulsive Internet Use,"Productivity at work, school, or home; Social behaviours; Emotional connection to and response from using the internet; General patterns of internet use ",Mental Health,20,"Young, K. S. (1998). Internet Addiction Test (IAT) [Database record]. APA PsycTests. ",https://www.iitk.ac.in/counsel/resources/IATManual.pdf
IBI,Irrational Beliefs Inventory,Irrational Beliefs,"Worrying, Rigidity, Need for Approval, Problem Avoidance, Emotional Irresponsibility",Beliefs,50,"Koopmans, P. C., Sanderman, R., Timmerman, I., & Emmelkamp, P. M. G. (1994). Irrational Beliefs Inventory (IBI, IBI-50) [Database record]? APA PsycTests. ",https://pure.rug.nl/ws/portalfiles/portal/3297082/Koopmans_1994_IBI.pdf
NPI,Narcissistic Personality Inventory,Narcissism,"Authority, Exhibitionism, Superiority, Vanity, Exploitativeness, Entitlement, Self-Sufficiency",Personality,40,"Raskin, R., & Hall, C. S. (1979). A narcissistic Personality inventory. Psychological Reports, 45(2), 590. ",https://openpsychometrics.org/printable/narcissistic-personality-inventory.pdf
GSE,General Self-Efficacy Scale,Percieved Self-Efficacy,,Personality,10,"Schwarzer, R., & Jerusalem, M. (1995). General Self-Efficacy Scale (GSE) [Database record]. APA PsycTests. ",https://www.researchgate.net/publication/311570532_The_general_self-efficacy_scale_GSE
ASES,Academic Self-Efficacy Scale,Academic Self-Efficacy,"Learning process, Reading, Comprehension, Memory, Curricular activities, Time management, Teacher-student relationship, Peer relationship, Utilization of resources, Goal orientation, Adjustment, Examination",Academic,40,"Gafoor, K. A., & Ashraf, M. (2007). Academic Self-Efficacy Scale. University of Calicut, Department of Education.  ",https://www.researchgate.net/publication/262924154_Academic_Self_Efficacy_Scale
POG,Positive Generalisation Scale,Tendency to Generalise Positivity from Experience to Self-Concept,"Lateral generalisation, Upward generalisation, Social generalisation",Beliefs,16,"Eisner, L. R., Johnson, S. L., & Carver, C. S. (2008).  Cognitive responses to failure and success relate uniquely to bipolar depression versus mania. Journal of Abnormal Psychology, 117(1), 154-163. ",https://calm.berkeley.edu/self-report-measures/positivegeneralization/
SRQ,Self-Regulation Questionnaire,Percieved Self-Regulation,"Recieving, Evaluating, Triggering, Searching, Planning, Implementing, Assessing",Personality,63,"Brown, J. M., Miller, W. R., & Lawendowski, L. A. (1999). The self-regulation questionnaire. In L. VandeCreek & T. L. Jackson (Eds.), Innovations onClinicalpractice: A source book, Vol. 17, pp. 281-292. Professional Resource Press/Professional Resource Exchange.  ",https://casaa.unm.edu/assets/inst/selfregulation-questionnaire-srq.pdf
AAI,Appearance Anxiety Inventory,Body Image Anxiety,"Threat Monitoring, Camouflaging, Avoidance",Attitudes,10,"Veale, D., Eshkevaria, E., Kanakama, N., Ellisona, N., Costa, A., & Werner, T. (2014). The Appearance Anxiety Inventory: Validation of a Process Measure in the Treatment of Body Dysmorphic Disorder. Behavioural and Cognitive Psychotherapy, 42, 605-616. ",https://kclpure.kcl.ac.uk/ws/portalfiles/portal/9717691/44a_AAI_questionnaire.pdf
RBQ-3,Repetitive Behaviours Questionnaire,Restricted and Repetitive Behaviours (especially in Autistic individuals),"Insistence on Sameness (IS), Repetitive Sensory-Motor Behaviours (RSMB)",Mental Health,20,"Jones, C. R. G., Livingston, L. A., Fretwell, C., Uljarevi?, M., Carrington, S. J., Shah, P., & Leekam, S. R. (2024). Measuring self and informant perspectives of restricted and repetitive (RRBs): Psychometric evaluation of the Repetitive Behaviours Questionnaire-3 (RBQ-3) in adult Clinical practice and research settings. Molecular Autism, 15(1), Article 24. ",https://novopsych.com.au/wp-content/uploads/2025/03/Research-clinical-comprehensive.pdf
BEAQ,Brief Experiential Avoidance Questionnaire,Tendency to Avoid Uncomfortable Emotions,,Personality,15,"Gamez, W., Chmielewski, M., Kotov, R., Ruggero, C., Suzuki, N., & Watson, D. (2014). The Brief Experiential Avoidance Questionnaire: Development and initial validation. Psychological Assessment, 26(1), 35-45. ",https://novopsych.com.au/wp-content/uploads/2024/10/Brief-Experiential-Avoidance-Questionnaire-BEAQ-blank-form-pdf-survey-questions-items.pdf
PANAS,Positive and Negative Affect Schedule ,Positive and Negative Affect ,"Positive Affect, Negative Affect",Personality,20,"Watson, D., Clark, L. A., & Tellegen, A. (1988). Development and validation of brief measures of positive and negative affect: The PANAS scales. Journal of Personalityand Social Psychology, 54(6), 1063-1070.",https://ogg.osu.edu/media/documents/MB%20Stream/PANAS.pdf
PSWQ,Penn State Worry Questionnaire ,Worry Trait (especially in those with Anxiety),,Personality,16,"Meyer, T. J., Miller, M. L., Metsger, R. L., Borkovec, T. D. (1990). Development and validation of the penn state worry questionnaire. Behaviour Research and Therapy, 28, 487-495. ",https://caleblack.com/psy5960_files/PSWQ.pdf
OLBI,Oldenburg Burnout Inventory,Burnout in Occupational Settings,"Exhaustion, Disengagement",Mental Health,16,"Demerouti, E. (1999). Oldenburg Burnout Inventory [Database record]. APA PsycTests. ",https://www.goodmedicine.org.uk/sites/default/files/assessment%2C%20burnout%2C%20olbi.pdf
ASA-27,Adult Separation Anxiety Questionnaire,Symptoms of Adult Separation Anxiety,,Personality,27,"Manicavasagar, V., Silove, D., Wagner, R., & Drobny, J. (2003). A self-report questionnaire for measuring separation anxiety in adulthood. Comprehensive Psychiatry, 44(2), 146-153. ",https://novopsych.com.au/wp-content/uploads/2024/12/sepad-symptom-severity-chart.pdf
CAT-Q,Camouflaging Autistic Traits Questionnaire ,Camouflaging Strategies (especially in Autistic individuals),"Compensation, Masking, Assimilation",Mental Health,25,"Hull, L., Mandy, W., Lai, M. C., Baron-Cohen, S., Allison, C., Smith, P., & Petrides, K. V. (2019). Development and validation of the Camouflaging Autistic Traits Questionnaire (CAT-Q). Journal of Autism and Developmental Disorders, 49(3), 819-833. ",https://embrace-autism.com/cat-q/
MDRS-22,Male Depression Risk Scale,Identifying Men's Risk of Depression,"Internalising: Emotional suppression, Somatic symptoms; Externalising: Drug use, Alcohol use, Anger and aggression, Risk taking",Mental Health,22,"Rice, S. M., Fallon, B. J., Aucote, H. M., Möller-Leimkühler, A., Treeby, M. S., & Amminger, G. P. (2015). Longitudinal sex differences of externalising and internalising depressiom symptoms trajectories: Implications for assessment of depression in men from an online study. The International Journal of Social Psychiatry, 61(3), 236-240. ",https://solidaritycoach.com/wp-content/uploads/2021/11/MDRS-22-Handout.pdf
